Onnett_id,Vuosi,Kk,Kuolleet,Loukkaant,Vakavuusko,Tunti,Ontyyppi,Onluokka,Osallkm,Nopraj,Kvl,Raskaskvl,Tietyö,Katuosoite
6626268,2011,3,0,0,0,13,8,6,2,40,41308.0,4202.0,E,HUOPALAHDENTIE X TURUNVÄYLÄ             
6792015,2011,6,0,1,2,24,49,4,3,40,41308.0,4202.0,E,HUOPALAHDENTIE 30
6654834,2011,12,0,0,0,10,86,1,1,40,41308.0,4202.0,E,HUOPALAHDENTIE X TURUNVÄYLÄ             
6736824,2011,10,0,1,2,17,8,6,2,50,41308.0,4202.0,E,TURUNVÄYLÄ X HUOPALAHDENTIE             
6691400,2011,10,0,0,0,20,7,6,2,60,41308.0,4202.0,E,TURUNVÄYLÄ X HUOPALAHDENTIE             
6583201,2011,2,0,1,2,7,82,1,1,80,41308.0,4202.0,E,TURUNVÄYLÄ                              
6815740,2011,8,0,0,0,7,81,13,2,100,41308.0,4202.0,E,TURUNVÄYLÄ                              
6736850,2011,11,0,0,0,1,8,6,2,60,41308.0,4202.0,E,TURUNVÄYLÄ X HUOPALHDENTIE              
6863103,2011,8,0,0,0,10,80,1,1,100,41308.0,4202.0,E,TURUNVÄYLÄ                              
6712942,2011,11,0,1,2,13,3,3,3,80,41308.0,4202.0,E,TURUNVÄYLÄ                              
6886123,2011,5,0,2,2,17,8,6,4,80,41308.0,4202.0,E,TURUNVÄYLÄ                              
6736837,2011,5,0,1,2,9,8,6,4,80,41308.0,4202.0,E,TURUNVÄYLÄ                              
6614857,2011,1,0,0,0,13,89,1,1,100,41308.0,4202.0,E,TURUNVÄYLÄ                              
6924114,2011,6,0,1,2,19,81,1,1,100,41308.0,4202.0,E,TURUNVÄYLÄ                              
6910854,2011,7,0,0,0,19,6,6,3,80,38474.0,2544.0,E,HÄMEENLINNANVÄYLÄ                       
6484980,2011,2,0,0,0,24,0,3,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ X MUURIMESTARINTIE    
6903810,2011,7,0,1,2,16,83,1,1,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ (100M POHJ. KEHÄ 1:LTÄ
6903839,2011,8,0,0,0,17,7,6,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6791805,2011,9,0,0,0,8,4,3,3,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6863194,2011,8,0,0,0,12,9,13,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6663343,2011,3,0,1,2,12,4,3,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6624672,2011,3,0,0,0,15,2,3,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ N. 500 M KEHÄ 1:LLE
6892712,2011,7,0,0,0,7,7,6,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6817141,2011,9,0,0,0,15,9,13,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6548127,2011,1,0,0,0,18,4,3,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6900520,2011,8,0,0,0,17,3,3,2,80,43530.0,3024.0,E,HÄMEENLINNAN VÄYLÄ X KANNELTIE          
6839565,2011,7,0,0,0,21,90,12,2,80,43530.0,3024.0,E,HÄMEENLINNAN VÄYLÄ                      
6737073,2011,10,0,0,0,6,2,3,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6542355,2011,1,0,0,0,12,99,13,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6900436,2011,8,0,0,0,15,9,13,2,80,43530.0,3024.0,E,TIE 3
6691492,2011,4,0,0,0,9,3,3,2,80,43530.0,3024.0,E,HÄMEENLINNANVÄYLÄ                       
6886359,2011,8,0,0,0,10,80,1,1,80,40377.0,4517.0,E,KUSTAA VAASANTIE                        
6682964,2011,12,0,0,0,18,2,3,2,80,40377.0,4517.0,K,LAHDENVÄYLÄ                             
6682859,2011,12,0,0,0,19,6,6,2,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6625034,2011,1,0,1,2,8,2,3,4,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6815228,2011,5,0,3,2,9,6,6,3,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6816027,2011,7,0,0,0,1,90,11,2,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6900487,2011,7,0,0,0,15,6,6,2,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6654579,2011,5,0,0,0,12,99,13,2,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6682963,2011,12,0,0,0,8,6,6,2,80,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6737098,2011,10,0,0,0,18,80,1,1,80,40377.0,4517.0,E,LAHDEN MOOTTORITIE                      
6548011,2011,1,0,0,0,12,89,1,1,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6712939,2011,11,0,0,0,18,8,6,2,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6763454,2011,10,0,0,0,17,99,13,2,100,40377.0,4517.0,E,LAHDEN MOOTTORITIE                      
6624617,2011,12,0,0,0,17,6,6,2,80,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6683196,2011,3,0,0,0,8,2,3,2,100,40377.0,4517.0,E,TIE 4
6919063,2011,8,0,0,0,16,89,1,1,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6713086,2011,11,0,0,0,17,6,6,3,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6542382,2011,1,0,1,2,3,81,1,1,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6845053,2011,5,0,0,0,18,94,1,1,80,40377.0,4517.0,K,LAHDENVÄYLÄ                             
6886058,2011,6,0,0,0,8,6,6,4,80,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6486523,2011,2,0,0,0,7,7,6,2,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6771005,2011,10,0,0,0,7,8,6,3,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6494191,2011,2,0,0,0,14,3,3,4,100,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6737009,2011,4,0,0,0,7,2,3,2,100,40377.0,4517.0,E,"LAHDENVÄYLÄ (ETELÄÄN),TATTARIHARJUN KOHD"
6583418,2011,11,0,0,0,8,7,6,4,80,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6800564,2011,5,0,0,0,8,6,6,2,80,40377.0,4517.0,E,LAHDENVÄYLÄ                             
6763366,2011,10,0,0,0,20,6,6,2,100,47251.0,2649.0,E,LAHDENVÄYLÄ                             
6654833,2011,12,0,0,0,18,81,1,1,100,47251.0,2649.0,E,LAHDENVÄYLÄ                             
6546620,2011,2,0,0,0,7,8,6,3,100,47251.0,2649.0,E,"LAHDENVÄYLÄ, E75"
6742739,2011,4,0,1,2,18,81,1,1,100,47251.0,2649.0,E,LAHDENVÄYLÄ                             
6626243,2011,1,0,0,0,10,83,1,1,80,47251.0,2649.0,E,LAHDENVÄYLÄ X KEHÄ III                  
6900536,2011,6,0,0,0,15,3,3,2,100,47251.0,2649.0,E,LAHDENVÄYLÄ                             
6615437,2011,3,0,1,2,16,83,1,1,100,16183.0,1146.0,E,PORVOONVÄYLÄ                            
6654540,2011,3,0,0,0,16,82,1,1,100,16183.0,1146.0,E,PORVOONVÄYLÄ                            
6683030,2011,12,0,0,0,18,9,13,2,100,16183.0,1146.0,E,PORVOONVÄYLÄ                            
6763458,2011,9,0,0,0,9,9,13,2,100,16183.0,1146.0,E,PORVOON VÄYLÄ KESK SUUNT                
6880704,2011,8,0,0,0,21,99,13,1,120,16183.0,1146.0,E,PORVOONVÄYLÄ                            
6713063,2011,11,0,0,0,20,81,1,1,100,16183.0,1146.0,E,"PORVOONVÄYLÄ, (TIE 7)"
6763241,2011,10,0,0,0,2,90,10,2,100,16183.0,1146.0,E,PORVOONVÄYLÄ                            
